X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-74.9892685788723,40.0804425169714,101,Elizabeth M Picariello Playground,1934,PPR_REC,B,Y,Y,, ,Programs 6/23
-75.0207819877208,40.0911774385542,102,Officer Robert Hayes Memorial Playground,1923,PPR_REC,B,Y,Y,,Gym extension constructred in 2019.,Programs 6/23
-74.9890643671929,40.0957823715823,103,Michael Palmer Playground,1926,PPR_REC,B,Y,N,,"Northern property building is for the Far NE Athletic Association, it is NOT PPR Programmed.",Programs 6/23
-74.9721947886782,40.0963211868699,104,Eileen Fitzpatrick Playground,1983,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0332014142048,40.1002679485814,105,William A Lackman Memorial Playground,1888,PPR_REC,B,Y,N,, ,Programs 6/23
-74.9694396340955,40.10340605686,106,Jim Junod Recreation Center,1883,PPR_REC,B,Y,N,, ,Programs 6/23
-75.0247246778045,40.1149096606904,107,Tomlinson and Gifford Playground,1863,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1595639501363,40.0499992211517,108,Lonnie Young Recreation Center of East Germantown,1897,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.0758752402906,40.0142254181864,109,William (Billy) Gambrel Playground,1862,PPR_REC,B,Y,Y,, ,Programs 6/23
-75.151719668541,39.9860748866311,110,Penrose Memorial Playground,1977,PPR_REC,B,Y,N,,,Programs 6/23
-75.2284890473926,39.9346256570176,111,Francis J Myers Recreation Center,1858,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1507739555381,39.9760826531446,112,Marie Dendy Recreation Center,1902,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1373196528355,39.9728830105188,113,Hancock Playground,1867,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1329258295217,39.9885752636778,114,Waterloo Playground,2901,PPR_REC,C,Y,N,, ,Programs 6/23
-75.2311865502508,39.9772308399125,115,Charles A Baker Playground,1981,PPR_REC,C,Y,N,,Staff from Conestoga ,Programs 6/23
-75.190866619629,39.9637682976151,116,James L Wright Playground,1975,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1675526605303,39.9936603151823,117,Cecil B Moore Recreation Center,1825,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1832459353673,39.9354994414515,118,Wharton Square,305,PPR_REC,C,Y,N,, ,Programs 6/23
-75.1459369642862,39.9347986270401,119,Shot Tower Recreation Center,969,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.163493956522,39.9384795841164,120,Hawthorne Cultural Center,1869,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1528358316479,39.9427206691233,121,Starr Garden Playground,1957,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1593083295971,39.9436183355252,122,Charles T Mitchell Jr (Seger) Park,1951,PPR_REC,B,Y,N,,"Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).",Programs 6/23
-75.1832725224868,39.9479946091986,123,William H (Billy) Markward Memorial Playground,1903,PPR_REC,B,Y,N,,Located within Schuylkill River Park,Programs 6/23
-75.2491030278968,39.9581963178396,124,Johnny Sample Recreation Center,1836,PPR_REC,A,Y,Y,,Located in Cobbs Creek Park,Programs 6/23
-75.2107278963019,39.9616640045616,125,John A Lee Cultural Center,1892,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2230245249974,39.967466784783,126,West Mill Creek Playground,1970,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2341796542888,39.9672698620018,127,Haddington-Marshall L Shepard Sr Recreation Center,1952,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1511521250283,39.9667964598499,128,East Poplar Playground,1851,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2127062711248,39.9792515301356,129,Carousel House Recreation Center,1824,PPR_REC,A,Y,Y,,Located in West Fairmount Park. Currently closed for Rebuild.,Programs 6/23
-75.1351096773182,39.9783989447246,130,Michael J Towey Playground,1964,PPR_REC,B,Y,Y,, ,Programs 6/23
-75.1878030267541,39.9897819107031,131,Joseph E Mander Playground,1900,PPR_REC,B,Y,N,,Located in East Fairmount Park,Programs 6/23
-75.1867696891675,40.008796341514,132,Harry S McDevitt Playground,1906,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.166272168354,40.0236931950372,133,Happy Hollow Recreation Center,1868,PPR_REC,B,Y,Y,, ,Programs 6/23
-75.0696199632461,40.0240137245522,134,Wissinoming Park,1973,PPR_REC,C,Y,N,, ,Programs 6/23
-74.9982050727317,40.058979690821,135,Torresdale Recreation Center,68,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1786676990227,39.9779513582244,136,Athletic Recreation Center,1811,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.2511010108308,39.9044377394714,137,Eastwick Regional Playground,499,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1381864234813,39.9890713969406,138,Frank S Nelson Jr Memorial Recreation Center,1988,PPR_REC,B,Y,N,,2019-2020 Renovations,Programs 6/23
-75.1049981121629,40.0147765429938,139,Joseph A Ferko Playground,1854,PPR_REC,C,Y,N,,,Programs 6/23
-75.1577706103316,39.9888097249935,140,Marie Winchester Playground,2900,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1977434058896,39.936217292943,141,Jacob Stinger Park,443,PPR_REC,C,N,N,,,Programs 6/23
-75.2008833209535,39.9659319624065,142,Norman (Butch) Ellis Playground,1803,PPR_REC,C,Y,N,, ,Programs 6/23
-75.0399228856989,40.0426711972682,143,Lincoln Indoor Pool,3471,POOL,S,Y,N,,"School District Property/Facility;PPR Programs (Ramp)",Programs 6/23
-75.2218401893562,40.0233091367907,144,Venice Island Performing Arts and Recreation Center,3448,PPR_REC,B,Y,N,, ,Programs 6/23
-75.2032088545347,40.0219670676277,145,David P Montgomery Field,3065,PPR_REC,C,Y,N,,Located in Wissahickon Valley Park.,Programs 6/23
-75.1873646768137,39.9254269713752,146,Thomas B Smith Recreation Center,502,PPR_REC,B,Y,N,, ,Programs 6/23
-75.1634347966534,39.9262748910949,147,East Passyunk Community Recreation Center,1963,PPR_REC,A,Y,Y,, ,Programs 6/23
-75.1454267785917,39.9327488226926,148,Ralph R Rizzo Sr Ice Rink,1407,PPR_REC,A,Y,N,, ,Programs 6/23
-75.2481075445779,39.9593011202806,149,Laura Sims Skating Rink,984,PPR_REC,B,Y,N,,Building located within Johnny Sample Recreation Center (Cobbs Creek Park),Programs 6/23
-75.1045518210495,40.0038492245102,150,Juniata Park Older Adult Center,3466,OLDER_ADULT_CENTER,S,Y,N,, ,Programs 6/23
-75.0591583052743,40.0875080210886,151,Pennypack Environmental Center,3462,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located within Pennypack Park,Programs 6/23
-75.2338714458867,40.0813052932031,152,Wissahickon Environmental Center,3456,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located within the Andorra Natural Area which is within Wissahickon Valley Park,Programs 6/23
-75.2504145830366,39.9519869166729,153,Cobbs Creek Community Environmental Center,1835,ENVIRONMENTAL_EDUCATION_CENTER,S,Y,N,,Located in Cobbs Creek Park.,Programs 6/23
-75.1695849764445,39.9799294723171,154,Dr Martin Luther King Jr Older Adult Center,3078,OLDER_ADULT_CENTER,S,Y,N,, ,Programs 6/23
-75.1542100132773,40.0643777350731,155,West Oak Lane Senior Center,3477,OLDER_ADULT_CENTER,S,Y,N,,Not City-Owned Property,Programs 6/23
-75.1381381038285,40.000724252342,156,Mann Older Adult Center,1040,OLDER_ADULT_CENTER,S,Y,Y,,Located in same building as Rivera.,Programs 6/23
-75.0513160286172,40.0625231094006,157,Northeast Older Adult Center,3087,OLDER_ADULT_CENTER,S,Y,N,,Located on same property as George C Pelbano Playground,Programs 6/23
-75.162531716393,39.9313698948991,158,South Philadelphia Older Adult Center,964,OLDER_ADULT_CENTER,S,Y,N,,,Programs 6/23
-75.2077457650646,39.9790504662597,159,Kelly Pool,1278,POOL,S,N,N,,Located in West Fairmount Park,Programs 6/23
-75.1191358485831,39.9950303399113,160,McPherson Square,576,PPR_REC,C,N,N,,,Programs 6/23
